,Burn_Value,EVT_Value,freq,EVT_Name,EVT_PHYS,EVT_Fuel_N,acres
214,9,9117,1,Laurentian-Acadian Floodplain Forest,Riparian,Tr Laurentian-Acadian Floodplain Systems,0.000247097
215,9,9118,5,Laurentian-Acadian Freshwater Marsh,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.001235483
216,9,9120,2,Laurentian-Acadian Wet Meadow,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.000494193
217,9,9312,1342,Northeastern North American Temperate Forest Plantation,Conifer,Tr Northeastern North American Temperate Forest Plantation,0.331603657
218,9,9315,9,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Tr Northern & Central Native Ruderal Forest,0.00222387
219,9,9317,9,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Sh Northern & Central Ruderal Meadow & Shrubland,0.00222387
220,9,9620,2,Laurentian-Acadian Shrub Swamp,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.000494193
221,9,9817,36,Northern & Central Ruderal Meadow,Exotic Herbaceous,Sh Northern & Central Ruderal Meadow & Shrubland,0.008895478
222,10,7191,71,Recently Logged-Herb and Grass Cover,Grassland,He Recently Logged-Herb and Grass Cover,0.01754386
223,10,7192,13,Recently Logged-Shrub Cover,Shrubland,Sh Recently Logged-Shrub Cover,0.003212256
224,10,7193,86,Recently Logged-Tree Cover,Conifer,Tr Recently Logged-Tree Cover,0.021250309
225,10,7195,8,Recently Burned-Herb and Grass Cover,Grassland,He Recently Burned-Herb and Grass Cover,0.001976773
226,10,7196,2,Recently Burned-Shrub Cover,Shrubland,Sh Recently Burned-Shrub Cover,0.000494193
227,10,7198,1,Recently Disturbed Other-Herb and Grass Cover,Grassland,He Recently Disturbed-Herb and Grass Cover,0.000247097
228,10,7199,1,Recently Disturbed Other-Shrub Cover,Shrubland,Sh Recently Disturbed-Shrub Cover,0.000247097
229,10,7200,18,Recently Disturbed Other-Tree Cover,Conifer,Tr Recently Disturbed-Tree Cover,0.004447739
230,10,7238,53,Laurentian-Acadian Northern Oak Forest,Hardwood,Tr Laurentian-Acadian Northern Oak Forest,0.013096121
231,10,7239,86,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Tr Laurentian-Acadian Northern Pine-Oak Forest,0.021250309
232,10,7240,58,Laurentian-Acadian Hardwood Forest,Hardwood,Tr Laurentian-Acadian Hardwood Forest,0.014331604
233,10,7241,282,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,0.069681245
234,10,7292,8,Open Water,Open Water,Ba Open Water,0.001976773
235,10,7296,18,Developed-Low Intensity,Developed-Low Intensity,Bau Developed-Low Intensity,0.004447739
236,10,7297,1,Developed-Medium Intensity,Developed-Medium Intensity,Bau Developed-Medium Intensity,0.000247097
237,10,7301,507,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,Tr Boreal Aspen-Birch Forest,0.125277984
238,10,7302,3190,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Tr Laurentian-Acadian Northern Hardwoods Forest,0.788238201
239,10,7362,177,Laurentian-Acadian Northern Pine Forest,Conifer,Tr Laurentian-Acadian Northern Pine Forest,0.043736101
240,10,7366,870,Laurentian-Acadian Pine-Hemlock Forest,Conifer,Tr Laurentian-Acadian Pine-Hemlock Forest,0.214974055
241,10,7407,6,Laurentian Pine Barrens,Conifer,Tr Laurentian Pine Barrens,0.00148258
